Pozo,Latitude,Longitude
AYOCOTE-18,17.892481,-93.8141701
AYOCOTE-2,17.88390608,-93.81742011
AYOCOTE-24,17.884553,-93.8183179
AYOCOTE-27,17.892607,-93.814219
AYOCOTE-3,17.88404212,-93.81773855
AYOCOTE-4,17.88374522,-93.81745591
AYOCOTE-5,17.87920862,-93.81508298
AYOCOTE-7,17.88441585,-93.81802164
AYOCOTE-9,17.87909981,-93.81516744
BACAL-1003,17.89480198,-93.94332312
BACAL-12,17.807683,-93.952663
BACAL-1606,17.80256444,-93.94950745
BACAL-3,17.807699,-93.946139
BACAL-42,17.796767,-93.952586
BACAL-503,17.793216,-93.95057
BACAL-505,17.793306,-93.950477
BACAL-507,17.80563813,-93.94949918
BACAL-508,17.79356521,-93.95060158
BACAL-511,17.79530007,-93.9430268
BACAL-512,17.79544118,-93.94291066
BACAL-513,17.79528122,-93.9428867
BACAL-515,17.79522157,-93.94266129
BACAL-516,17.80759504,-93.94619196
BACAL-53,17.818544,-93.946162
BACAL-61,17.795038,-93.949368
BACAL-62,17.793277,-93.952586
BACAL-81,17.791424,-93.949353
BACAL-87,17.796867,-93.939578
BELLOTA-126,18.115937,-93.325491
BELLOTA-159,18.120639,-93.349311
BELLOTA-33,18.093314,-93.299697
BELLOTA-41,18.052917,-93.308421
BELLOTA-42,18.16257427,-93.4727053
BELLOTA-73,18.11360615,-93.301826
BELLOTA-94,18.105833,-93.324716
BLASILLO-170,18.055416,-94.044144
BLASILLO-43,18.04574,-94.050842
BLASILLO-43D,18.045778,-94.050823
BLASILLO-49,18.051154,-94.041022
BLASILLO-505,18.0479508,-94.0478749
BLASILLO-509,18.0474609,-94.047857
BLASILLO-511D,18.0440518,-94.0476024
BLASILLO-513,18.040567,-94.047388
BLASILLO-515,18.0407113,-94.0473877
BLASILLO-519,18.044042,-94.0477441
BLASILLO-521,18.0458896,-94.0509068
BLASILLO-521D,18.04589951,-94.05129346
BLASILLO-523,18.046876,-94.047788
BLASILLO-525,18.047675,-94.047797
BLASILLO-525D,18.04782545,-94.04830386
BLASILLO-527,18.0480416,-94.0479455
BLASILLO-529,18.040496,-94.047293
BLASILLO-531,18.04577304,-94.05121637
BLASILLO-533,18.0459977,-94.0509802
BLASILLO-535,18.04593653,-94.05116765
BLASILLO-537,18.04415967,-94.04787544
BLASILLO-539,18.0480416,-94.0479455
BLASILLO-539D,18.047988,-94.0483
BLASILLO-543,18.04793108,-94.04807331
BLASILLO-547,18.04441404,-94.04781743
BLASILLO-548,18.04919841,-94.04409156
BLASILLO-549,18.0458888,-94.0510457
BLASILLO-557,18.0605537,-94.0443357
BLASILLO-559,18.04935632,-94.04390373
BLASILLO-567,18.04930776,-94.04414397
BLASILLO-569,18.04938065,-94.04378351
BLASILLO-57,18.0601567,-94.044557
BLASILLO-570,18.04949732,-94.04388623
BLASILLO-589,18.04284,-94.044865
BLASILLO-602,18.04770803,-94.04830638
BLASILLO-61,18.040329,-94.05411
BLASILLO-67D,18.045653,-94.044433
BLASILLO-69D,18.047549,-94.040968
BRICOL-1,18.26416811,-93.38160544
BRICOL-102,18.21867239,-93.31661375
BRICOL-11,18.263631,-93.38171135
BRICOL-21,18.2634715,-93.3815438
BRICOL-2DL,18.2184925,-93.3179962
BRICOL-31,18.26379047,-93.38187886
BRICOL-3A,18.2638437,-93.38111281
BRILLANTE-1,18.1566194,-94.2729468
BRILLANTE-11,18.15696665,-94.27312448
BRILLANTE-15,18.15704316,-94.27348433
BRILLANTE-16,18.15096307,-94.2518541
BRILLANTE-17,18.15082316,-94.25180036
BRILLANTE-2,18.1563688,-94.2729783
BRILLANTE-20,18.15586397,-94.27168519
BRILLANTE-21,18.15574772,-94.27175827
BRILLANTE-22,18.15563156,-94.27183125
BRILLANTE-3,18.1564688,-94.2729555
BRILLANTE-4,18.15125525,-94.25188104
BRILLANTE-5,18.15695079,-94.27285771
BRILLANTE-6,18.1689546,-94.2762223
BRILLANTE-7,18.156835,-94.272881
BRILLANTE-8,18.15111139,-94.25186603
BRILLANTE-9,18.15662732,-94.27324434
CACTUS-1001,17.905742,-93.191589
CACTUS-1002,17.886665,-93.185541
CACTUS-1003,17.89023597,-93.18136339
CACTUS-1004,17.89017275,-93.18149974
CACTUS-1006,17.905824,-93.191464
CACTUS-1045,17.873668,-93.153282
CACTUS-1057,17.873546,-93.153094
CACTUS-1063,17.879364,-93.171243
CACTUS-107,17.91333762,-93.16808199
CACTUS-111,17.91333757,-93.168082
CACTUS-1190,17.905905,-93.191337
CACTUS-3,17.890172,-93.18158
CACTUS-302,17.886639,-93.185398
CACTUS-5,17.905498,-93.182233
CACTUS-55A,17.874203,-93.153819
CACTUS-57,17.87407,-93.153922
CACTUS-61,17.881892,-93.177979
CACTUS-62D,17.8821,-93.1968
CACTUS-65,17.882033,-93.158631
CAFETO-51,17.89968,-92.554202
CAPARROSO-15,18.36362458,-92.81309234
CARDENAS-109,18.024158,-93.432996
CÁRDENAS-109,18.02488968,-93.43318264
CARDENAS-112,18.005394,-93.481834
CARDENAS-114B,18.000913,-93.489999
CÁRDENAS-114B,18.00164579,-93.49018683
CARDENAS-129,18.019822,-93.424423
CARDENAS-137,18.027987,-93.457272
CARDENAS-139B,18.032506,-93.449129
CARDENAS-434,18.001320,-93.496124
CARDENAS-439,18.0322063,-93.4490268
CARDENAS-539,18.03188042,-93.4487827
CARDENAS-807,18.0188209,-93.4408683
CARDENAS-839,18.0323852,-93.4490225
CÁRDENAS-839,18.03311645,-93.4492095
CASTARRICAL-11,18.390488,-93.309936
CASTARRICAL-11D,18.390509,-93.309895
CASTARRICAL-8,18.386941,-93.309879
CASTARRICAL-88,18.377905,-93.313167
CATEDRAL-103REE,17.4338853,-93.3396979
CATEDRAL-13REE,17.438946,-93.351783
CATEDRAL-3,17.43868284,-93.35155286
CATEDRAL-85,17.42238811,-93.33909287
CERRO NANCHITAL-11,17.505165,-94.166926
CERRO NANCHITAL-12,17.508262,-94.165822
CERRO NANCHITAL-17,17.5054598,-94.1668472
CERRO NANCHITAL-18,17.5032797,-94.1637572
CERRO NANCHITAL-9,17.505048,-94.166916
CHIAPAS-12,17.560368,-93.387639
CHIAPAS-2,17.551527,-93.388291
CHIAPAS-4,17.546715,-93.395852
CHILAPILLA-115,17.938051,-92.526698
CHILAPILLA-117,17.930683,-92.520485
CHILAPILLA-117D,17.930676,-92.520513
CHILAPILLA-12,17.940091,-92.512594
